,data,ativo_total,patrimonio_liq,vlr_patrimonial_acao,acoes_ordinarias,acoes_preferenciais,acoes_preferenciais.1,total,acoes_ordinarias_tesouraria,acoes_preferenciais_tesouraria,acoes_preferenciais_tesouraria.1,total_tesouraria,acoes_ordinarias_excecao,acoes_preferenciais_excecao,total_excecao,ticker
31,30/09/2016,"R$ 54,83 B","R$ 44,85 B","R$ 6,64",2.597.547.000,4.161.252.000,4.161.252.000,6.758.799.000,2.155.000,2.000.000,2.000.000,4.155.000,2.595.392.000,4.159.252.000,6.754.644.000,3
32,30/06/2016,"R$ 53,66 B","R$ 43,74 B","R$ 6,47",2.597.547.000,4.161.252.000,4.161.252.000,6.758.799.000,1.536.000,2.000.000,2.000.000,3.536.000,2.596.011.000,4.159.252.000,6.755.263.000,3
33,31/03/2016,"R$ 50,82 B","R$ 41,57 B","R$ 6,15",2.597.547.000,4.161.252.000,4.161.252.000,6.758.799.000,1.000.000,0,0,1.000.000,2.596.547.000,4.161.252.000,6.757.799.000,3
34,31/12/2015,"R$ 49,17 B","R$ 39,99 B","R$ 6,54",2.352.424.000,3.757.710.000,3.757.710.000,6.110.134.000,8.228.000,2.320.000,2.320.000,10.548.000,2.344.196.000,3.755.390.000,6.099.586.000,3
35,30/09/2015,"R$ 48,59 B","R$ 39,23 B","R$ 6,42",2.352.424.000,3.757.710.000,3.757.710.000,6.110.134.000,7.718.000,2.320.000,2.320.000,10.038.000,2.344.706.000,3.755.390.000,6.100.096.000,3
36,30/06/2015,"R$ 46,12 B","R$ 37,27 B","R$ 6,10",2.352.424.000,3.757.710.000,3.757.710.000,6.110.134.000,4.365.000,2.320.000,2.320.000,6.685.000,2.348.059.000,3.755.390.000,6.103.449.000,3
37,31/03/2015,"R$ 44,40 B","R$ 35,55 B","R$ 5,82",2.352.424.000,3.757.710.000,3.757.710.000,6.110.134.000,1.767.000,2.320.000,2.320.000,4.087.000,2.350.657.000,3.755.390.000,6.106.047.000,3
38,31/12/2014,"R$ 42,77 B","R$ 33,73 B","R$ 6,16",2.106.227.000,3.364.440.000,3.364.440.000,5.470.667.000,0,600.000,600.000,600.000,2.106.227.000,3.363.840.000,5.470.067.000,3
39,30/09/2014,"R$ 41,93 B","R$ 33,13 B","R$ 6,06",2.106.227.000,3.364.440.000,3.364.440.000,5.470.667.000,0,0,0,0,2.106.227.000,3.364.440.000,5.470.667.000,3
40,30/06/2014,"R$ 40,37 B","R$ 32,20 B","R$ 5,89",2.106.227.000,3.364.440.000,3.364.440.000,5.470.667.000,0,0,0,0,2.106.227.000,3.364.440.000,5.470.667.000,3
41,31/03/2014,"R$ 39,35 B","R$ 31,26 B","R$ 5,71",2.106.227.000,3.364.440.000,3.364.440.000,5.470.667.000,0,0,0,0,2.106.227.000,3.364.440.000,5.470.667.000,3
42,31/12/2013,"R$ 39,16 B","R$ 30,03 B","R$ 6,20",1.866.290.000,2.981.170.000,2.981.170.000,4.847.460.000,0,0,0,0,1.866.290.000,2.981.170.000,4.847.460.000,3
43,30/09/2013,"R$ 364,02 B","R$ 30,03 B","R$ 6,19",1.866.290.000,2.981.170.000,2.981.170.000,4.847.460.000,0,0,0,0,1.866.290.000,2.981.170.000,4.847.460.000,3
44,30/06/2013,"R$ 334,70 B","R$ 29,48 B","R$ 6,08",1.866.290.000,2.981.170.000,2.981.170.000,4.847.460.000,0,0,0,0,1.866.290.000,2.981.170.000,4.847.460.000,3
45,31/03/2013,"R$ 317,59 B","R$ 30,74 B","R$ 6,34",1.866.290.000,2.981.170.000,2.981.170.000,4.847.460.000,0,0,0,0,1.866.290.000,2.981.170.000,4.847.460.000,3
46,31/12/2012,"R$ 315,66 B","R$ 29,76 B","R$ 6,74",1.696.627.000,2.718.855.000,2.718.855.000,4.415.482.000,0,8.700.000,8.700.000,8.700.000,1.696.627.000,2.710.155.000,4.406.782.000,3
47,30/09/2012,"R$ 312,00 B","R$ 29,34 B","R$ 6,65",1.696.627.000,2.718.855.000,2.718.855.000,4.415.482.000,0,8.700.000,8.700.000,8.700.000,1.696.627.000,2.710.155.000,4.406.782.000,3
48,30/06/2012,"R$ 301,53 B","R$ 28,47 B","R$ 6,45",1.696.627.000,2.718.855.000,2.718.855.000,4.415.482.000,0,8.700.000,8.700.000,8.700.000,1.696.627.000,2.710.155.000,4.406.782.000,3
49,31/03/2012,"R$ 289,54 B","R$ 27,78 B","R$ 6,29",1.696.627.000,2.718.855.000,2.718.855.000,4.415.482.000,0,0,0,0,1.696.627.000,2.718.855.000,4.415.482.000,3
50,31/12/2011,"R$ 282,96 B","R$ 26,58 B","R$ 6,08",1.680.796.000,2.693.485.000,2.693.485.000,4.374.281.000,0,0,0,0,1.680.796.000,2.693.485.000,4.374.281.000,3
51,30/09/2011,"R$ 275,64 B","R$ 26,30 B","R$ 6,01",1.680.796.000,2.693.485.000,2.693.485.000,4.374.281.000,0,0,0,0,1.680.796.000,2.693.485.000,4.374.281.000,3
52,30/06/2011,"R$ 250,66 B","R$ 28,38 B","R$ 6,49",1.680.796.000,2.693.486.000,2.693.486.000,4.374.282.000,0,0,0,0,1.680.796.000,2.693.486.000,4.374.282.000,3
53,31/03/2011,"R$ 239,42 B","R$ 27,57 B","R$ 6,30",1.680.796.000,2.693.486.000,2.693.486.000,4.374.282.000,0,0,0,0,1.680.796.000,2.693.486.000,4.374.282.000,3
54,31/12/2010,"R$ 222,47 B","R$ 26,26 B","R$ 6,04",1.670.037.000,2.677.178.000,2.677.178.000,4.347.215.000,0,1.382.000,1.382.000,1.382.000,1.670.037.000,2.675.796.000,4.345.833.000,3
55,30/09/2010,"R$ 615,96 B","R$ 19,79 B","R$ 4,55",1.670.037.000,2.677.178.000,2.677.178.000,4.347.215.000,0,1.382.000,1.382.000,1.382.000,1.670.037.000,2.675.796.000,4.345.833.000,3
56,30/06/2010,"R$ 619,86 B","R$ 19,09 B","R$ 4,39",1.670.037.000,2.677.178.000,2.677.178.000,4.347.215.000,0,0,0,0,1.670.037.000,2.677.178.000,4.347.215.000,3
