,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao,ticker
80,30/06/2004,"R$ 40,02 M","R$ 15,55 M","R$ 6,41 M",,,"- R$ 1,28 M","- R$ 0,00",94
81,31/03/2004,"R$ 45,00 M","R$ 18,65 M","R$ 9,72 M",,,"R$ 2,46 M","R$ 0,00",94
82,31/12/2003,"R$ 50,14 M","R$ 17,16 M","- R$ 11,47 M",,,"- R$ 18,83 M","- R$ 0,00",94
83,30/09/2003,"R$ 38,55 M","R$ 15,46 M","- R$ 11,68 M",,,"- R$ 22,75 M","- R$ 0,00",94
84,30/06/2003,"R$ 39,57 M","R$ 14,93 M","- R$ 10,90 M",,,"- R$ 22,05 M","- R$ 0,00",94
85,31/03/2003,"R$ 49,68 M","R$ 13,13 M","- R$ 13,68 M",,,"- R$ 25,34 M","- R$ 0,00",94
86,31/12/2002,"R$ 60,70 M","R$ 16,76 M","- R$ 11,47 M",,,"- R$ 23,91 M","- R$ 0,00",94
87,30/09/2002,"R$ 60,68 M","R$ 9,55 M","- R$ 8,27 M",,,"- R$ 15,08 M","- R$ 0,00",94
88,30/06/2002,"R$ 60,23 M","R$ 9,69 M","- R$ 11,38 M",,,"- R$ 17,13 M","- R$ 0,00",94
89,31/03/2002,"R$ 52,53 M","R$ 9,82 M","- R$ 10,09 M",,,"- R$ 15,41 M","- R$ 0,00",94
90,31/12/2001,"R$ 63,80 M","R$ 13,73 M","- R$ 11,12 M",,,"- R$ 15,54 M","- R$ 0,00",94
91,30/06/2001,"R$ 67,94 M","R$ 18,53 M","R$ 1,11 M",,,"- R$ 2,93 M","- R$ 0,00",94
92,31/03/2001,"R$ 75,91 M","R$ 20,66 M","R$ 4,34 M",,,"R$ 678,00 mil","R$ 0,00",94
93,31/12/2000,"R$ 87,11 M","R$ 23,62 M","R$ 3,51 M",,,"- R$ 139,00 mil","- R$ 0,00",94
94,30/09/2000,"R$ 71,30 M","R$ 15,49 M","R$ 2,44 M",,,"- R$ 909,00 mil","- R$ 0,00",94
95,30/06/2000,"R$ 66,82 M","R$ 15,06 M","R$ 2,41 M",,,"- R$ 586,00 mil","- R$ 0,00",94
96,31/03/2000,"R$ 64,81 M","R$ 14,58 M","R$ 4,13 M",,,"R$ 875,00 mil","R$ 0,00",94
