,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao,ticker
34,31/12/2015,"R$ 1,62 B","R$ 477,79 M","- R$ 68,84 M","- R$ 105,90 M","R$ 37,06 M","- R$ 98,90 M","- R$ 1,17",178
35,30/09/2015,"R$ 1,70 B","R$ 541,28 M","R$ 5,55 M","- R$ 119,98 M","R$ 125,53 M","- R$ 42,73 M","- R$ 0,51",178
36,30/06/2015,"R$ 1,26 B","R$ 387,91 M","- R$ 212,00 mil","- R$ 88,41 M","R$ 88,20 M","- R$ 30,00 M","- R$ 0,36",178
37,31/03/2015,"R$ 848,97 M","R$ 265,25 M","R$ 13,09 M","- R$ 62,57 M","R$ 75,66 M","- R$ 8,19 M","- R$ 0,10",178
38,31/12/2014,"R$ 469,54 M","R$ 156,40 M","R$ 4,92 M","- R$ 37,17 M","R$ 42,08 M","- R$ 8,22 M","- R$ 0,10",178
39,30/09/2014,"R$ 327,35 M","R$ 115,55 M","R$ 29,24 M","- R$ 26,02 M","R$ 55,26 M","R$ 12,51 M","R$ 0,18",178
40,30/06/2014,"R$ 315,75 M","R$ 117,69 M","R$ 36,69 M","- R$ 24,52 M","R$ 61,21 M","R$ 17,57 M","R$ 0,26",178
41,31/03/2014,"R$ 304,84 M","R$ 117,15 M","R$ 40,60 M","- R$ 22,34 M","R$ 62,94 M","R$ 21,79 M","R$ 0,32",178
42,31/12/2013,"R$ 294,47 M","R$ 114,40 M","R$ 44,64 M","- R$ 21,63 M","R$ 66,27 M","R$ 26,25 M","R$ 0,38",178
43,31/12/2012,"R$ 253,50 M","R$ 98,92 M","R$ 47,12 M","- R$ 20,57 M","R$ 67,69 M","R$ 27,54 M","R$ 0,40",178
44,31/12/2011,"R$ 207,26 M","R$ 77,23 M","R$ 29,53 M","- R$ 21,53 M","R$ 51,06 M","R$ 11,30 M","R$ 0,17",178
