,Ticker,Nome
371,EDFO11B,EDIFÍCIO OUROINVEST (OLD)
372,CCRF11,CANVAS CRI
373,SRVD11,SERRA VERDE
374,SHDP11B,SHOPPING PARQUE DOM PEDRO
375,FISC11,SC 401
376,CPLG11,CAPITÂNIA LOGÍSTICA FII
377,BLUR11,BLUE RECEBÍVEIS
378,RCFA11,GRUPO RCFA
379,OBAL11,OPPORTUNITY BALASSIANO FII
380,BTSI11,BTSP II
381,TOUR11,TOURMALET II
382,AFOF11,ALIANZA FOFII
383,RENV11,CPV ENERGIA FII
384,PNRC11,PANORAMA REAL ESTATE CRÉDITO FII
385,ARXD11,ARX Dover Recebíveis FII
386,VXXV11,VX XVI
387,RBRI11,RBR DESENVOLVIMENTO III
388,ERPA11,EUROPA 105
389,BRFT11,Bradesco Farmtech
390,ATSA11,HEDGE ATRIUM SHOPPING SANTO ANDRÉ
391,EQIN11,NCH EQI HIGH YIELD RECEBÍVEIS IMOBILIÁRIOS
392,MATV11,MORE GESTÃO ATIVA DE RECEBÍVEIS
393,ENDD11,ENDURANCE DEBT
394,STRX11,STARX
395,ZAGH11,ZAGROS MULTIESTRATÉGIA FII
396,IMOV11,NAVI HEDGE FUND FII
397,SJAU11,SJ AU LOGÍSTICA
398,ESUU11,FDO INV PART IE BB VOTORANTIM ENERG SUSTENT I
399,WTSP11B,OURINVEST RE I
400,IFIE11,IFI-E INTER
401,BZLI11,BRAZIL REALTY
402,FTCE11B,OPPORTUNITY
403,DAMA11,DAMA FUNDO DE INVESTIMENTO IMOBILIÁRIO RESP LIMITA
404,TRNT11,TORRE NORTE
405,RBGS11,RB CAPITAL GENERAL SHOPPING SULACAP
406,ROOF11,ROOFTOP I
407,YUFI11,YUCA
408,DMAC11,MAC FUNDO DE INVESTIMENTO IMOBILIÁRIO
409,PNPR11,PANORAMA PROPERTIES
410,CFII11,CF3 FUNDO DE INVESTIMENTO IMOBILIÁRIO
411,DOVL11B,DOVEL
412,APXM11,FUNDO DE INVESTIMENTO IMOBILIÁRIO APEX MALLS
413,FMOF11,MEMORIAL OFFICE
414,CFHI11,CF2
415,ALMI11,TORRE ALMIRANTE
416,SBCL11,FRAM CAPITAL SBCLOG
417,HBTT11,HABITAT I
418,PABY11,PANAMBY
419,PRTS11,MULTI PROPERTIES
420,PULV11,FUNDO DE INV IMOB RBR CRÉD PULVERIZADO RESP LTDA
421,BTYU11,FII BTG PACTUAL YOU INC. DESENV. IMOB.
422,VIDS11,VIC DESENVOLVIMENTO - VINTAGE 20/21
423,COPP11,CORPORATE OFFICE PROPERTIES FII
424,BTWR11,BTOWERS
425,RSPD11,RB CAPITAL DESENVOLVIMENTO RESIDENCIAL III
426,LOFT11B,LOFT I
427,HCST11,HECTARE DESENV. STUDENT HOUSING
428,HGJH11,CSHG JHSF PRIME OFFICES
429,VANG11,VANG INFRA
430,URHF11,URCA HEDGE FUND ESTRATÉGIA IMOBILIÁRIA FII
431,BZEL11,BARZEL
432,SFRO11,CSÃO FRANCISCO 34
433,THRA11,CYRELA THERA CORPORATE
434,PRSV11,PRESIDENTE VARGAS
435,MINT11,MINT EDUCACIONAL
436,NPAR11,NESTPAR
437,XBXO11,R CAP 1810 FUNDO DE FUNDOS
438,MMPD11,MAUÁ CAPITAL MPD DESENV. RESID.
439,RCFF11,RBR DESENVOLVIMENTO COMERCIAL FEEDER FOF
440,SFND11,SÃO FERNANDO
441,CVPR11,CVPAR
442,PATB11,PATEO BANDEIRANTES
443,LAVF11,LAVOURA
444,ARFI11B,ÁQUILLA RENDA
445,BRHT11B,BR HOTÉIS
446,FCAS11,EDIFÍCIO CASTELO
447,OUCY11,OURINVEST CYRELA
448,HMOC11,HEDGE SHOPPING PRAÇA DA MOÇA
449,VLJS11,VECTOR QUELUZ LAJES CORPORATIVAS
450,ZIFI11,ZION CAPITAL
451,RZEO11,RIZA EOS FDO DE INV NAS CAD PROD - FIAGRO
452,BTML11,BARRA MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO
453,ZAVC11,ZAVIT CRÉDITO IMOBILIÁRIO FII
454,ATWN11,A-TOWN
455,CJFI11,FII CJ
456,MVFI11,MV9
457,VTVI11,PARKING PARTNERS
458,FVBI11,VBI FL 4440
459,QIFF11,QUATÁ IMOB. FUNDO DE FUNDOS
460,CORM11,CORE METROPOLIS
461,LRDI11,LEBLON REALTY DESENVOLVIMENTO I
462,LKDV11,DEVELOPMENT V1
463,JTPR11,JT PREV DESENVOLVIMENTO HABITACIONAL
464,RBCB11,RIO BRAVO CRÉDITO IMOBILIÁRIO I
465,BRIX11,BRIX
466,LLAO11,BS2 ALLINVESTMENTS
